date;content
1/01/2025;Que manera de empezar el año, la verdad fue un día bastante caótico, empezando por una llamada en la madrugada donde se pensaba terminar, luego una visita mañanera para confirmar todo lo escuchado en la llamada y por último una visita en la noche para aclarar lo sucedido y seguir juntos. PD: Que bonito mi regalo
2/01/2025;El día transcurrió como de costumbre, platicamos y enviamos tiktoks, por la noche yo salí y te iba a saludar a distancia, a esto tú me dijiste que mejor te pasara dando un besito (como me gustó eso) pasaron cositas, pequeños disgustos, pero era más carga emocional que yo tenía en ese momento, te agradezco por ser mi lugar seguro.
3/01/2025;Hoy olvidaste pasar a traer a Tun ajajjaja también terminé de probar los chuchitos y paches que me diste (estaban bien ricos), hasta que llegó la noche y por un saludo pasaron cositas, tuvimos un tiempo de plática bajo la lluvia, te escuchaba mientras me contabas todo y luego fuimos a la rueda de chicago, terminamos platicando en una banca del parque, ya no sabía que más te podía decir, pero quería seguir a tu lado para acompañarte en todo momento. 
4/01/2025;"De mi lado tuve una plática primera con mi suegrita sobre los eventos ocurridos el día de ayer, considero que estoy permitió que las cosas se aclararan, más tarde baje y platiqué contigo sobre todo, afortunadamente hoy tuvimos nuestra primera salida del año, fuimos a probar tacos, yo quería tacos de lengua, pero no habían ;( tú probaste unos tacos de birria y luego los calificamos, tú diste un 7/10 y yo un 8/10, seguiremos en la búsqueda de buenos tacos, luego fuimos a pegarle un poco al saco de box de Andaria y quisimos jugar billar, pero estaban ocupadas las mesas ;( "
5/01/2025;Iniciamos tratando de hacer nuestra combinación para llegar a dominical iguales, creo que no tenemos la misma visión de un color corinto jajaaja en la tarde todo tranquilo, hasta que llegó la noche, pasaron cositas y hubo una ligera discusión, a la que afortunadamente logramos llegar a un acuerdo y estar en paz. 
6/01/2025;Hoy ibamos a iniciar a ir al gimnasio, pero no se pudo porque nos habíamos desvelado un día antes, te toco trabajar hasta tarde saliste a las 7:00 p.m. pero obveamente fui a esperarte, porque ya estaba oscuro, eso nos permitió vernos un ratito (aunque mi nuevo corte te pareció raro porque estaba aplastado por la gorrar jaja) 
7/01/2025;Hoy fue nuestro primer día de gimnasio, la verdad se sintió tan bonito, que aunque cada uno estuviera en su rutina teníamos unos breves momentos para poder ir, darle un besito o abrazo al otro, por la tarde nos vimos un rato y avanzamos en los stickers para los cuadernos de Oliver, terminamos el día discutiendo y con el problema más grande hasta el momento de la relación. 
8/01/2025;Día muy complicado debo decir, mis ganas de escribirte, de hablar no se van, toco ir a Guate y estar muy intranquilo porque no te escribía, aún así en la noche te mandé un par de tiktoks que expresaban mi sentir. 
9/01/2025;Considero este día bastante fuerte, aun con el poco sueño toco nuevamente ir a Guate, se empezaba a notar el cansancio físico y mental, por la tarde al regresar fui con Oliver a terminar sus stickers, la verdad estaba muy emocionado pensando en que dinosaurios poner, por lo mismo algunos llevan más de uno, estuvo complicado la despedida porque solo preguntaban el motivo del porque no me quedaba y te esperaba. 
10/01/2025;Este fue el peor día, la madrugada me puso sentimental y me dispuse a escribirte y expresarte mis sentimientos mediante una carta, la verdad es que se quedó corta, me hubiera gustado mencionar muchas cosas más, por la noche había reunión de escuela dominical, realmente quería verte, pero afortunadamente también tenía yo una reunión con el equipo de multimedia, así que decidí darte más espacio, por la noche ya pudimos platicar más sobre nuestra situación, considero que un poco más tranquilos y acordamos hablar mañana en persona. 
11/01/2025;Hoy cumplimos 13 meses de estar juntos, fue un día con muchas cosas entre los dos, primero que nada se llegó el momento esperado de la plática, ambos expresamos nuestro sentir y que pasaba, me siento muy feliz de que hayamos podido llegar al acuerdo de seguir juntos, aunque me hayas dicho que todo sería algo diferente, pero que esperabas no cambiar mucho, eso le dio un alivio a mi corazón. Seguimos siendo un EQUIPO. 
12/01/2025;"Hoy fue un día bastanteee bonito, llegaste tarde a dominical, no me quisiste contar :""( como que ya no me tienes la misma confianza ;( a pesar de ese mínimo detallito el resto del día fue espectacular, por la tarde vimos el partido del barcelonita, uffff tremendo partidazooo y lo mejor victoriaaaa, al terminar bajamos y vimos una película, me quedé dormidooooo :o pero se sintió tan bonito dormir en tu pecho (es primera vez que sucede) por la noche fuimos a comer y una plática tan amena con tu familia, me gusta sentir que cada vez nos llevamos mejor."
13/01/2025;Hoy fue un día tranquilito, iniciamos con ir al gym, fue muy bonito las visitas entre descansos y unos besitos, como me encantaaa esoooo. <br>En cosas por destacar solamente que hoy estabas al perdida en el tiempo jaja y yo bien ocupado:(
14/01/2025;Hoy fue un día muy bonito, tuvimos la primer salida de cafecito del año, plática muy amena, chismecito y de todo un poco, se que te esta costando seguir igual y que nada cambie, te lo dije y lo dejo plasmado acá, perdón, enserio trato de entender y comprenderte, pero algunas veces si me siento extraño o diferente, yo buscaré la manera de igual seguir como siempre y como soy, te amo mi niña hermosa.
15/01/2025;Hoy fue la presentación de directivas en la iglesia, debo decir que estabas hermosa con ese vestido verde 😍, luego un tiempo de plática después de servicio (amo estos tiempos de tú y yo)
16/01/2025;Día bastante interesante, siempre es bonito poder compartir contigo estos momentos tan únicos e íntimos, dormir junto a ti es tan bonitooo.
17/01/2025;Hoy los dos estabamos con sueño jajaja es que iniciamos haciendo cardio y luego fuimos al gym a hacer cardio :0 por la noche solamente tuvimos un tiempo de llamadita bastante bonito.
18/01/2025;Se cumplió el cafecito con la suegrita jajaja un tiempo muy bonito, al inicio si estaba medio molesto por el tema tiempo, pero luego de ello todo tranquilo, me gustó la plática, muy ameno el tiempo, luego regresamos y volvimos a salir para comer, terminamos viendo a la mamichula le decían jajajaja naaah, día muy bonito contigo. 
19/01/2025;Hoy cocinamooos crepaaaaas, la verdad quedaron muy bien, aunque el color estaba rarito jajaja 
20/01/2025;Inicia nuestra búsqueda de velitas y cosas para el pastel de mi suegrita la próxima semana, no conseguimos, pero eso significa salir otro día para buscar nuevamente.
21/01/2025;El día de hoy fuimos a ver <strong> Interestelar </strong>, fuaaa que película más buena, me gustó un montón, pero más porque iba junto a ti, aunque no nos dejaron entrar nuestras bobas jajajaja
22/01/2025;Día bastante tranqui y bonito, aunque hay veces que siento que soy exagerado por pedir más y más tiempo a tu lado en el gym, pero con el tiempo se que se irá dando. 
23/01/2025;Uff que día el de hoy, ya hacía falta tener un momentito de besos y abrazos, hoy comí tus taquitos por primera vez y enserio que me gustarooon. 
24/01/2025;Hoy fue un día bastante curioso jaja creo que estoy siendo muy exagerado con ciertos gestos o como reacciono cuando no me tratan bonito, no me gusta eso, vamo a tratar de bajarle un poquito, tuvimos una salidita express en busca de velitas, pero fracasamos, no había de las shidas, cosas destacables de hoy, tuvimos un momento a solas bonito, aunque ambos consideramos que nos estamos dejando llevar mucho
25/01/2025;Que día tan bonito, nos vimos por la tarde para ir a buscar el regalo de tu mamá, anduvimos con Oliver dando vueltas, fuimos a comer y regresamos a jugar un ratito, estuvo muy bonito todo, cada vez me haces mucha falta cuando no estamos juntos.
26/01/2025;Hoy lo considero como un día bien bonito porque, primero, estuve contigo, segundo comí de las dobladas que hicieron (estaban bien ricas) y tercero, ganó el Barcelona, lastimosamente ya por la noche no pudo continuar la aventura, pero habían compromisos jajaja AMOOOO eestar contigo.
27/01/2025;Que más puedo decir de hoy, un día genial, iniciamos quemando cuetes, fuimos al gym, tristemente aún te sientes insegura conmigo o dudas de mí, pero bueno, espero que podamos seguir creciendo y mejorando, luego el tiempo del cumpleaños, todo bonito, cada vez me voy sintiendo más cercano y eso me pone contento, amo pasar tiempo contigo y que vivamos juntos experiencias así.
28/01/2025;Este día no fuimos al gimnasio porque ayer nos desvelamos limpiando jajaja pero aún así tuvimos nuestro tiempo para vernos y en realidad que todo es muy bonito a tu lado, esperemos que la oferta que esta sobre la mesa (Aún no tengo mayor información) pueda darse de manera remota, quiero seguir a tu lado en cada momento y no estar a la distancia. 
29/01/2025;Pocas cosas del día de hoy, gimnasio (me gustaa ir contigoooooo🤭) por la tarde fui un ratito contigo y hoy hubieron flores (gerberas), me alegra mucho que te hayan gustadooo. 
30/01/2025;Que más podría decir del día de hoy, simplemente fue un día muy bonito, hoy entrenamos juntos hombro, toco cargar un poquito más jajaja pero me gusta cuando lo hacemos juntos porque me esfuerzo más, por la noche todo muy bonito, en realidad amo tener esos momentos contigo.
31/01/2025;Iniciamos el día con un cafecito platicando sobre lo sucedido la noche anterior, es muy bonito poder tener pláticas de ese estilo contigo, prometí ayudar a que no vuelva a suceder, al menos en un 70%, creeme que quisiera ofrecer más porcentaje, pero tristemente algunas veces se que mis deseos me ganaran, ahhhhhhhhhhhhhhhh ya quiero vivir contigooooo jajaja 
1/02/2025;"Hoy no nos vimoooooos ;( la verdad solo puedo decir que si extrañe mucho verte el día de hoy, por la tarde me hiciste una bromita que me dejo pensando jaja pero de ahí todo bieeeen, así que tranqui, me pareció raro que no fueras por pestañas si habías ido a San Lucas, pero supongo que otros mandados, ya quierooo verte mañanaaaa."
2/02/2025;"Veamos que sucedió el día de hoy, fue un domingo diferente porque no estuve la tarde contigo ;( aunque ahorita ya en la noche estuvimos platicando y luego viendo su serie ajajaja <br> Comentario del día: QUEEE HERMOSAAAAA, enserio me encanta como te ves con colores claros"
3/02/2025;Por salir tarde ayer, no fuimos al gym hoy jajaja pero si hubieron tulipanes por la tardeeee 🤭 bueno, solo uno jajaja me alegra saber que te haya gustado
4/02/2025;Iba todo tranquilo en el gym, pero pum, me molesté, tristemente en ese momento no hiciste algo por preguntar o interesarte, me hubiera gustado que sucediera, por la noche fuimos por crepas y unas papotas, que vaya que estaban grandes, platicamos un poco sobre lo acontencido en la mañana y creo que vamos avanzando en esto. 
5/02/2025;Día de hombro juntooos 🫣hoy fui con camiseta al gym, casi no lo hago, pero me gustó, aunque más me gustó las fotos que nos tomamos despuéees. UFFFFFFFFFFFFFFFFFFF <br> No te pude ver la tardeee, que tristezaaa
6/02/2025;Hoy en el gym, existen las casualidades y justo cuando me iba a enviar unas fotos cae un mensaje de alguien no agradable para mí, lo borré jajajaja no quería que lo vieras. <br>Básicamente transcurrió un día fuerte para los dos en el trabajo (más para ti), pero se sintió taaaan bien, el poder desahogarme contigo y quejarme, recibir mimos y besitos mientras me quejaba fue bonito 🤭 al igual que la plática en la cena, me gusta que podamos expresar lo que sentimos, se que te está costando, hay cosas que no sabes como expresarlas, pero quiero ayudarte a que lo hagas, que puedas sentirte plena conmigo, yo buscaré y haré lo que esté a mi alcance para lograrlo, al momento de que estés leyendo esto, me gustaría saber si lo he logrado o aún sigue en proceso.<br>Te amooo mi niña bella🥹
7/02/2025;"El día de hoy hicimos pierna, elevaciones creo que se llaman jajaja pero tú haces con dos discos, yo lo intenté, pero aún me falta pulir bien bien la técnica, creo que se puede ir mejorando, tú día estuvo muy pesado ;( realmente quisiera poder ayudarte, pero no sé comooooo. <br> Por la tarde, fui a verte un ratito, estabas con mucho frío, tú mamá llamó jajaja imagino que hoy te quedaste dormida temprano, espero que mañana amanezcas mucho mejor."
8/02/2025;No te viiiiiiiii😩😩 hoy no nos vimoooos, que tristeeee, el día fue muy normal, hasta que en la noche fui a verte y no estabas jajaja pero ahora en la noche una llamadita larga para enviarnos reels🤭
9/02/2025;"Un día agridulce le podría decir jajaja todo tranqui, dominguito de iglesia, por la tarde no pudimos pasar un tiempo juntos, realmente esos tiempos siempre me hacen falta ;( pero en lado positivo, en la noche tuvimos un tiempo de platica, besitos, abrazos y juegooos, inicie mencionando que fue agridulce, porque si me tocaron mucho las palabras de ""Como jode, usted arruina la salida en familia"" y aunque trate de tomarlo como broma en su momento, la verdad no pude aguantar mucho, gracias por tus abrazos en ese momento, aunque eso me pusieron más débil jaja porque si estaba aguantando el sentimiento. "
10/02/2025;Comenzamos con sueñitoo jajaja hoy toco día de abdomeeeen 😮 tú haciendo abdomeen mi amoor :o fue día que transcurrió con tranquilidad, te llamé al regresar del trabajo, pero estabas en el baño jajajajaja amo que me contestes aún así, para decir que luego seguimos hablando. (No me ayudaste con mi tarea 😭)
11/02/2025;Llegaaamoooos al año y dos meseeeees, sin duda estos últimos meses después del año, han tenido sus altos y bajos, pero vamos superandolos, que es lo importante, para el día de hoy aún me encuentro con mucha vergüenza porque no me encuentro solvente, armamoos un lego de flores en Dunkin y fue un tiempo bonito de plática, siempreeee existeen las casuaaalidadees 😵‍💫 para el final en la noche me dio tremenda pena aceptar tu oferta de pagar, me arrepentí en el momento y mejor ahí se quedó, ya no te pasé la cuenta ni nada jajaja Te amo mi niña bella, gracias por ser mi apoyo. 
12/02/2025;"Hoy en el gym siento que exagero a veces en como me siento, solo porque me niegues un abrazo no significa que no me quieras, aunque tristemente lo tomo así, creo que yo soy el problema ;( nuestro día transcurrió en cada quién haciendo sus cositas, tú el día de hoy no tuviste clases y que calidad, pudiste descansar un poco mi cielito. "
13/02/2025;Nos volvimooos a veeeeer jajja (en la tarde) siempre hacen falta esos momentitos de besitos y abracitooos, aunque dude de subir porque no sabía si estaba tu hermano, pero tuvimos un tiempo bonito, después por la noche una plática tranquilita con un café rico, hablamos sobre como eran otras relaciones y si cambiaban.
14/02/2025;Y pasamos un día del amor, nuestro segundoooo 🤭 debo decir que este iba un poco sentimental por lo que pasaba con mi hermana, pero que bonito saber como te das cuenta que no estoy bien 🥹🥹 eso realmente es un sentimiento tan bonitooooooo. Me encantó el pelucheeeeeee. TE AMOOOOOOOOOOOO.
15/02/2025;"Sábado sin vernos ;( ibamos a vernos por la tarde, pero pasaron cositas dijiste, aún me tienes que contar que pasó, lo bueno es que tuvimos una llamadita extensa mientras tu arreglabas tu ropa y yo estaba haciendo tarea, luego nos quedamos dormidos en llamadaaaa. "
16/02/2025;"Dominguinto de novioooooooos, fua hoy sentí tan bonito cuando dijiste ""él es mi novio"" aaahhhhhhhhhhhhhhhhhh, eso me gustó un montón, fuimos al mercado por mariscos, después solucionar problemas con el teléfono de mamá, se pudooo recuperar tiktok ajajaja y por la noche siguió el tiempo de noviooos 🤭 amo todo contigo. <br>Perdón si a veces me paso contigo en tocarte o algo así 😭 cuando leas esto me gustaría que me cuentes, como vivimos esto en un futuro, ¿Sigue así? ¿Cambió algo? "
17/02/2025;Hoy día sin verte 🥲 estuvimos platicando muy poco, inicia tu semana de parciales y espero que te vaya muy bien🙌🏽 luego me puse en mood sensible porque no me respondiste bonito y terminamos hablando por llamada, tristemente aún no te sientes segura conmigo 😔😔 cuando leas esto quisiera saber, ¿ya te sientes segura conmigo? <br>Al parecer no vale la pena ser buena persona, siento que he intentado todo y no rinde frutos, te he demostrado que eres única para mí, que eres mi todo, he soportado cosas y comentarios por ti, he hecho cosas y al parecer nada vale la pena. Ya no sé que más hacer, quiero darte seguridad, pero la verdad ya no sé que más puedo hacer😭
18/02/2025;"Primer entreno que tenemos de pechitoooooo jajajaja estuvo bastante bien, tristemente hoy no nos pudimos ver después de clases, como ya empezaba a ser costumbre de martes ;( pero fue por tu examen de financiera, que espero te vaya bien, por la noche que rarooo, yo sintiendome mal por que no me respondaaas ;( "
19/02/2025;"Hoy no hubo entreno porque me tocó ir a Guate, pero si hubo besito antes de emprender rutaaaaa, luego al regresar una llamadita en el camino y tenía muchas ganas de verte, veniste un ratito porque tenías parcial, pero gracias por ese ratitoooo, estuve a punto de acompañarte también para salir más tardecito, pero al final no ;( "
20/02/2025;Hoy entrenamos hombroooo, el día transcurrió con normalidad, pero al final por la tarde una visita bonita llegó a mi casa 🤭 tiempo solitos bonito y luego fuimos por un hot-dog a la puma, no estaban taaaaan buenos jajaa pero la compañía si que lo estaba. 
21/02/2025;Hoy estuvo tremendo el día, en la mañana bien mareado por el ejercicio jajaja aunque también creo que fue por comer mucho un día antes, debo decir que por la tarde ya quería verte y ese momento solitos, estuvo muy bonito, nos dejamos llevar, pero también se siente bien en el momento. Luego me quedé con la espinita de que si quieres más a tu amigo que a mí, pero luego te lo pregunté y todo tranqui. <br>Salieron bien las gomitas, aunque siento que hubieran quedado mejor con chamoy jajaja pero no había
22/02/2025;"No nos vimos ;( por la tarde-noche una llamada un tanto agridulce, no sé que sucedió, de un momento a otro, todo se empezó a arruinar, considero que tuve mayor culpa, aunque también tú un poco, platicamos, videollamamos y todo, fue bonito al final, terminamos platicando de varias cositas y al final ni sentíamos el tiempo, hasta cenamos juntos. "
23/02/2025;Por la mañana todo bien en dominical, excepto en la salida, donde quise tomar tu mano y simplemente la quitaste, después de dijiste que fue porque no te sentías cómoda, realmente duele mucho saber que por cosas que haga nada sirve, no cambia eso, me gustaría saber si actualmente sigues sintiendote así, ya ha pasado más tiempo para cuando leas esto, entonces te preguntó <b>¿Sigues sientiendote incómoda conmigo?</b><br>Más tarde saliste, fuiste de compras y que bonito se sintió sentirme incluido mientras me mandabas fotos y todo, fuaaaaaa😍 En la noche todo iba bien, hasta que hubo una pelea acá con mi padre, no aguanté el sentimiento y toco llorar, creo que se está volviendo muy seguido y no me gusta, tal vez pienses que soy débil, pero gracias por acompañarme en la llamadita. 
24/02/2025;"Hoy no hubo GymNovios ;( pero si hubo tiempito por la tarde para estar juntos un ratito adornando para el cumpleaños de mi bro, que bonito compartir diferentes experiencias contigo, todo alegre, los juegos, la comida, luego jugando BASTA, creo que fue el primer mini acercamiento con tu hermano mayor, ahí vamos. "
25/02/2025;Hoy si hubo GymNovios jajaja como buen primer día, yo con pechito y tú con pierna, durante el día casi no hubo plática, solo que ya habíamos acordado tener nuestra CoffeNight, aunque por algún motivo luego cuando regresaste del trabajo tuvimos una llamadita y surgió la idea de quedarme a dormir, solo puedo decir que sensación tan bonita es que todo se de contigo, realmente quiero estar contigo siempre, cada experiencia, cada emoción, cada sensación, sentir de todo, pero contigoo mi amor. 
26/02/2025;Estuvimos algo cansado/desvelados por anoche, que en el gym fue más que todo solo cardío, el día tu estuviste full ocupada, trabajando en todas las liquidaciones, en mi caso estuve con clases, luego por la tarde tuvimos una llamadita y platicamos un ratito, fuiste a tu exposción, pero ni pasaste jajajaja luego regresaste y nuevamente una llamada, como me gustaaaa hablar contigo, aunque a veces me quede sin tema o dormido jajaja pero amoooo hablar contigo. 
27/02/2025;Hoy nos quedamos dormidos ambos jaajja ya ni fuimos al gym, el día transcurrió con normalidad, pero por la noche la brillante idea de volver a quedarme a dormir contigo, fuaaaa, tremenda carrera la que lancé jajaja todo bien bonitooo y estar junto a ti, es bonito.
28/02/2025;Nuevaaamenteee cansados y algo desvelados, que solo fuimos por un cafecito a la Puma, que bonito sentí cuando me contaste lo de que siempre habías querido aprender a tocar teclado, era algo que yo no sabía y el que me contarás eso, me sentí muy especial, más tardecito veniste un rato a mi casa antes de ir a la U, amo todo el tiempo que podemos tener juntos, por la noche te dormiste temprano, yo me quedé finalizando la página web y al finaaaal se terminó.
1/03/2025;"Digamos que tenía mucha ilusión de poder salir contigo hoy, quería contarte lo que había completado ayer y como todo se dio, celebrar contigo ya que era mi primer logro en desarrollo web, pero tampoco te iba a obligar si no tenías ganas de salir, aunque de igual manera después estabas con tu mamá en Andaria y terminamos platicando un poco ahí, dijiste varias cosas que me quedaron, en la noche te lo dije y siento que cada vez que te expreso como me siento, todo termina mal, en la llamada iniciaste diciendome las frases bonitas como ""amor"", ""bebé"" y así, pero al terminar la llamada, ya fue nada, puro silencio, decidí cortar y luego tú llamaste diciendo que no querías que esto se quedará así, pudimos hablar, yo considero que lo logramos solucionar.<br>Quiero hacer algo este mes, imagino que cuando lo leas quizá no te guste que lo haya hecho, pero planeo guardarme todo este mes, cualquier trato frío, seco, me lo guardo, cualquier comentario, me lo guardo, trataré de no decir nada, para que pasé a peores cosas. "
2/03/2025;"Que día, no tengo más palabras para este día, sé que ayer que me iba a guardar las cosas, pero si se complica la situación y no puedo, me cuesta, terminé preguntando el motivo del porqué me dejas a la salida de la iglesia, fuimos en silencio porqué tú no me decías nada, más adelante te pregunté si no dirías nada, a lo que solo me dijiste, <b>NO</b>, la frase que más me queda es cuando me dijiste <b>""Mira que haces""</b> y seguiste de largo, dejándome ahí con mis preguntas y comentarios, donde nuevamente caigo en que al yo decir algo, suceden estas cosas, por la tarde medio hablamos, considero que ambos molestos en cierto punto, antes del servicio te dije si podíamos vernos un rato, dijiste que sí, pero algo que también me quedó es el: <b>Pero sin abrazarnos</b>, acepté, al inicio estaba distante, conforme los minutos y hablabamos, te dije que si te podía abrazar, dijiste que sí y de ahí empezamos a platicar sobre la situación que estamos actualmente, yo no quiero dejarte, enserio que no quiero, pero tampoco quiero que te sigas sintiendo así, yo no sé que hacer, realmente siento que no es que vea a otras personas, pero tú dices que sí, voy a ver que hago, pero no quiero dejarte, me gustaría saber si para cuando leas esto, ¿Todo sigue siendo igual? "
3/03/2025;"No nos vimos 🥲 y también podría decir que la plática estuvo mas o menos, dije que no diría nada y eso estoy tratando, pero igual todo quedará escrito jajaja así que lo leerás en su momento :0 puedo sentirte algo seca conmigo aún, no me dijiste <b>Te Amo</b> al momento de despedirnos, solo fue un ""Que descanses bien"", pero bueno, mejor vamo a dormir, se cancela, ya me dijiste te amo jajajaja estaba terminando mi lección de duolingo cuando me escribiste y dijiste te amo."
4/03/2025;"La cama nos ganó jajajaja no fuimos al gym por seguir durmiendo un ratito jajaja en la noche tuvimos nuestra coffee-night, al fin terminé mi programa para subir notas automáticamente y te lo mostré en la noche, de igual manera me contaste que es lo que haces jajaaj pensé que podría hacer algo automatizado, pero al momento en que dijiste, yo tengo que ver si falta acá, e irlo a buscar allá, me di cuenta que no se podría ;("
5/03/2025;Hoy sí fuimos al gym jajajaja el día transcurrió tranquilo, cada quien en sus cositas, hoy jugó el Barcelona, aunque estés ocupada, te mandé muchos mensajes jajajaja pero no me contestaste, hasta después me llamaste, iba a pasar al salir de comprar a dejarte un dálmata, pero me dijiste que mejor no, que te iban a regañar, al final, no pasé, pero más tarde si me quedé jajajaja que carrera, hoy no quisiste ir a la U, por lo que me dio tiempo de llegar a tu casa y quedarme a dormir, aunque siempre tenemos un momento bonito entre los dos, amo que todo se pueda dar contigooooo. 
6/03/2025;El día de hoy iniciamos con un café en el Super7, como ya es costumbre día después de quedarme jajajaja decidimos no ir mañana al gym para descansar la semana completa, quería verte por la noche, pero al final no se pudo, me di un baño y me relajé jajaja aún así te iba a ver, pero me dijiste que descansará. 
7/03/2025;Como acordamos, no fuimos al gym, pero eso no impidió que nos vierámos por la noche, fuimos a los hot-dogs del Super24, debo decir que estaban ricos jajaja aunque tú me echaste salsa en el pants JAAJAJA aunque sean momentos cortos, amo estar a tu lado mi amor bello.
